NAMA MESIN,KATEGORI,DESCRIPTION SPAREPART,PART NUMBER,QTY,NO. IN MANUAL BOOK,KATEGORI,DOCUMENT,SUPPLIER,NAMA,KONTAK,EMAIL,ALAMAT,,,,,
,,6MM BULKHEAD FITTING SS (P-IN),38160600,1,6,,13502-050-A,,,,,,,,,,
,,8MM PIPE,PE-0806-0100M-N,4,7,,13502-050-A,,,,,,,,,,
,,6MM PIPE,PE-0604-0100M-N,2,8,,13502-050-A,,,,,,,,,,
,,COVER PLATE FABRICATION,102-770,4,9,,13502-050-A,,,,,,,,,,
,,GASKET,102-781,4,10,,13502-050-A,,,,,,,,,,
,,BUTTON HD SCREW M4X12LG ST STL,MF-SBT-M4X12-SS,24,11,,13502-050-A,,,,,,,,,,
,,DUMMY LOADCELL ASSEMBLY,AW338/00000,4,12,,13502-050-A,,,,,,,,,,
,,CAP HD SCREW M12X50LG ST STL,MF-SC-M12X50-SS,8,13,,13502-050-A,,,,,,,,,,
,,SPRING WASHER 12 DIA ST.ST,MF-WS-12DIA-SS,4,14,,13502-050-A,,,,,,,,,,
,,FULL NUT M12x1.75,MF-NF-M12-SS,4,15,,13502-050-A,,,,,,,,,,
,,ASSY: EARTH SPRING,103-673,1,16,,13502-050-A,,,,,,,,,,
,,ASSY: EARTH SPRING,103-715,1,17,,13502-050-A,,,,,,,,,,
,,BUTTON HD SCREW M4X6LG ST STL,MF-SBT-M4X6-SS,4,18,,13502-050-A,,,,,,,,,,
,,STOPPING PLUG,RS-809-093,4,19,,13502-050-A,,,,,,,,,,
,08_S IBC,480 CONE VALVE 316L Ra 0.5um,102-401,1,1,,104-562-A,,,,,,,,,,
,,480 DIA REINFORCING RING,102-432,1,2,,104-562-A,,,,,,,,,,
,,480 CONE SEAL,102-018,1,3,,104-562-A,,,,,,,,,,
,,IBC INLET SEAL,102-964,1,1,,105-304-A,,,,,,,,,,
,,BAND CLAMP,LV10533056BS4H,1,2,,105-304-A,,,,,,,,,,
,,IBC LID,101-452,1,3,,105-304-A,,,,,,,,,,
,,FAB: 2500L S13 IBC,13502-016,1,1,,13502-013-A,,,,,,,,,,
,,ASSY: 480 CONE VALVE & SEAL,104-652,1,2,,13502-013-A,,,,,,,,,,
,,ASSY: 'S' SERIES IBC FOOT,105-302,2,3,,13502-013-A,,,,,,,,,,
,,ASSY: 'S' SERIES IBC FOOT OPP HAND,105-303,2,4,,13502-013-A,,,,,,,,,,
,,S' SERIES IBC LID ASSEMBLY,105-304,1,5,,13502-013-A,,,,,,,,,,
,,FAB: 1500L S13 IBC,13502-020,1,1,,13502-017-A,,,,,,,,,,
,,ASSY: 480 CONE VALVE & SEAL,104-652,1,2,,13502-017-A,,,,,,,,,,
,,ASSY: 'S' SERIES IBC FOOT,105-302,2,3,,13502-017-A,,,,,,,,,,
,,ASSY: 'S' SERIES IBC FOOT OPP HAND,105-303,2,4,,13502-017-A,,,,,,,,,,
,,S' SERIES IBC LID ASSEMBLY,105-304,1,5,,13502-017-A,,,,,,,,,,
,09_IBC Wash Lid,FAB: IBC WASH LID,107-866,1,1,,107-865-B,,,,,,,,,,
,,TOFTEJORG TZ-89 ROTARY JET,TQ-TZ89 4X4 1020LG,1,2,,107-865-B,,,,,,,,,,
,,"3"" CLAMP SEAL LIPPED WHT SILICONE",GK-BS-0300-SW,1,3,,107-865-B,,,,,,,,,,
