NAMA MESIN,KATEGORI,DESCRIPTION SPAREPART,PART NUMBER,QTY,NO. IN MANUAL BOOK,KATEGORI,DOCUMENT,SUPPLIER,NAMA,KONTAK,EMAIL,ALAMAT,,,,,
,Cooling,magnet valve 4/2 Wege,30-10-035,1,1,,SparePart 2.14.013 Hal 22,,,,,,,,,,
,,"L-union R1/8""x8",30-20-017,1,2,,SparePart 2.14.013 Hal 22,,,,,,,,,,
,,"sealing ring 1/8""",30-30-002,1,3,,SparePart 2.14.013 Hal 22,,,,,,,,,,
,,"sealing plug R1/8""",30-50-179,1,4,,SparePart 2.14.013 Hal 22,,,,,,,,,,
,Valve,magnet valve 4/2 Wege,30-10-035,1,1,,SparePart 2.14.013 Hal 23,,,,,,,,,,
,,L-union R1/8x6,30-20-012,1,2,,SparePart 2.14.013 Hal 23,,,,,,,,,,
,,L-union R1/8x6,30-20-023,1,3,,SparePart 2.14.013 Hal 23,,,,,,,,,,
,Vacuum Pump,(vacuum pump),Vakuumpumpe_nach_Auf trag(3.184.11.004.00),1,1,,SparePart 2.14.013 Hal 24,,,,,,,,,,
,,divider,186.11.039.00,1,2,,SparePart 2.14.013 Hal 24,,,,,,,,,,
,,hose connector 1/2 x 13,30-50-143,2,3,,SparePart 2.14.013 Hal 24,,,,,,,,,,
,,hose 13x3.1,30-50-102(3.184.11.004.00),2,4,,SparePart 2.14.013 Hal 24,,,,,,,,,,
,,hose clamp 12-22mm,30-50-134,4,5,,SparePart 2.14.013 Hal 24,,,,,,,,,,
,,hose clamp 20-32mm,30-50-130,2,6,,SparePart 2.14.013 Hal 24,,,,,,,,,,
,,hose 19x3.5,30-50-103(3.184.11.004.00),2,7,,SparePart 2.14.013 Hal 24,,,,,,,,,,
,,hose connector R3/4x19,30-50-144,2,8,,SparePart 2.14.013 Hal 24,,,,,,,,,,
,,sealing ring 1/2 Polyamid ,30-30-004,2,9,,SparePart 2.14.013 Hal 24,,,,,,,,,,
,,sealing ring 3/4 Polyamid ,30-30-005,1,10,,SparePart 2.14.013 Hal 24,,,,,,,,,,
,,shaft D20 L0100 M06,2.5002.0418,4,11,,SparePart 2.14.013 Hal 24,,,,,,,,,,
,,vacuummeter 1/8,30-50-524,1,12,,SparePart 2.14.013 Hal 24,,,,,,,,,,
,,"plug R1/8""",30-50-196,1,13,,SparePart 2.14.013 Hal 24,,,,,,,,,,
,,double nipple G1 1/4- G1/2,30-50-576,1,14,,SparePart 2.14.013 Hal 24,,,,,,,,,,
,,nipple R1 1/4x3/4,30-50-259,1,15,,SparePart 2.14.013 Hal 24,,,,,,,,,,
,Bag lenght control,adjusting lever,185.11.049.00,1,1,,SparePart 2.14.013 Hal 25,,,,,,,,,,
,,oscillating krank,186.11.021.01,1,2,,SparePart 2.14.013 Hal 25,,,,,,,,,,
,,adjusting piece,186.11.022.00,1,3,,SparePart 2.14.013 Hal 25,,,,,,,,,,
,,stopper plate,186.11.036.00,1,4,,SparePart 2.14.013 Hal 25,,,,,,,,,,
,,rotary transmitter  8-pol.,32-02-291,1,5,,SparePart 2.14.013 Hal 25,,,,,,,,,,
,,measuring wheel,32-00-542,1,6,,SparePart 2.14.013 Hal 25,,,,,,,,,,
,,DU-bushes 08x10x08,31-00-437,2,7,,SparePart 2.14.013 Hal 25,,,,,,,,,,
,,sheft,2.5000.0029,1,8,,SparePart 2.14.013 Hal 25,,,,,,,,,,
,,cabel outlet M12 8pol.,32-02-292,1,9,,SparePart 2.14.013 Hal 25,,,,,,,,,,
,,tension spring 186.11.037.00,186.11.037.00(3.185.11.0 09.01),1,10,,SparePart 2.14.013 Hal 25,,,,,,,,,,
,,hexagon screw M4x16,50-10-065,6,11,,SparePart 2.14.013 Hal 25,,,,,,,,,,
,,hexagon screw 04x25,50-10-285,1,12,,SparePart 2.14.013 Hal 25,,,,,,,,,,
,,hexagonal nut M04,51-10-005,2,13,,SparePart 2.14.013 Hal 25,,,,,,,,,,
,,"U-washer d04,3","52-10-009_U Scheibed04,3",2,14,,SparePart 2.14.013 Hal 25,,,,,,,,,,
,,"U-washer 6,4",52-10-002,3,15,,SparePart 2.14.013 Hal 25,,,,,,,,,,
,,hexagon screw M06x25,50-10-062,3,16,,SparePart 2.14.013 Hal 25,,,,,,,,,,
,Winkelprofil Laufhöhe hor. 305-460mm,support,200.01.826.01,1,1,,SparePart 2.14.013 Hal 26,,,,,,,,,,
,,shaft D20 L175 M10,2.5001.0107,2,2,,SparePart 2.14.013 Hal 26,,,,,,,,,,
,,machine pedestal VA D50,31-02-594,2,3,,SparePart 2.14.013 Hal 26,,,,,,,,,,
,,screwed pin M10x25,50-10-249_M10x25,2,4,,SparePart 2.14.013 Hal 26,,,,,,,,,,
,,hexagon screw M8x40,50-10-001,2,5,,SparePart 2.14.013 Hal 26,,,,,,,,,,
,,"U-washer d8,4 A2",52-10-001,2,6,,SparePart 2.14.013 Hal 26,,,,,,,,,,
,,hexagon screw M6x12 A2,50-10-094,4,7,,SparePart 2.14.013 Hal 26,,,,,,,,,,
,,"U-washer 6,4",52-10-002,4,8,,SparePart 2.14.013 Hal 26,,,,,,,,,,
,Band GB275 AA1500 Belt,frame,200.00.455.01,1,1,,SparePart 2.14.013 Hal 27,,,,,,,,,,
,,holding fixture,200.06.369.00,2,2,,SparePart 2.14.013 Hal 27,,,,,,,,,,
,,holding fixture,200.06.370.00,2,3,,SparePart 2.14.013 Hal 27,,,,,,,,,,
,,pressure plate,200.06.371.00,4,4,,SparePart 2.14.013 Hal 27,,,,,,,,,,
,,deflecting roller 300mm,34-00-187,1,5,,SparePart 2.14.013 Hal 27,,,,,,,,,,
,,motor connection box,200.00.139.00,1,6,,SparePart 2.14.013 Hal 27,,,,,,,,,,
,,distance shaft L305 D25,2.5004.0012,2,7,,SparePart 2.14.013 Hal 27,,,,,,,,,,
,,motor,"Trommelmotor(3.200.01.07
3.01)",1,8,,SparePart 2.14.013 Hal 27,,,,,,,,,,
,,cable union,32-01-379,1,9,,SparePart 2.14.013 Hal 27,,,,,,,,,,
,,"U-washer d8,4 A2",52-10-001,8,10,,SparePart 2.14.013 Hal 27,,,,,,,,,,
,,hexagon screw M8x12,50-10-099,8,11,,SparePart 2.14.013 Hal 27,,,,,,,,,,
,,"U-washer 6,4",52-10-002,4,12,,SparePart 2.14.013 Hal 27,,,,,,,,,,
,,hexagon screw,50-10-073M06x30,4,13,,SparePart 2.14.013 Hal 27,,,,,,,,,,
,,hexagon screw M4x40,50-10-218,2,14,,SparePart 2.14.013 Hal 27,,,,,,,,,,
,,"U-washer d04,3","52-10-009_U-Scheibed04,3",2,15,,SparePart 2.14.013 Hal 27,,,,,,,,,,
,,hexagon screw,50-10-177,2,16,,SparePart 2.14.013 Hal 27,,,,,,,,,,
,Belt support,support,200.01.965.01,1,1,,SparePart 2.14.013 Hal 28,,,,,,,,,,
,,shaft D20 L400 M10,2.5001.0118,2,2,,SparePart 2.14.013 Hal 28,,,,,,,,,,
,,hinged food VA D50,31-02-594,2,3,,SparePart 2.14.013 Hal 28,,,,,,,,,,
,,screwed pin M10x25,50-10-249_M10x25,2,4,,SparePart 2.14.013 Hal 28,,,,,,,,,,
,,hexagon screw M8x40,50-10-001,2,5,,SparePart 2.14.013 Hal 28,,,,,,,,,,
,,"U-washer d8,4 A2",52-10-001,2,6,,SparePart 2.14.013 Hal 28,,,,,,,,,,
,,hexagon screw M6x12 A2,50-10-094,4,7,,SparePart 2.14.013 Hal 28,,,,,,,,,,
,,"U-washer 6,4",52-10-002,4,8,,SparePart 2.14.013 Hal 28,,,,,,,,,,
,Protection tunnel - roof style,cover GB 275 L500 Dachform,200.00.599.00,1,1,,SparePart 2.14.013 Hal 29,,,,,,,,,,
,,washer,2.0125.0097,4,2,,SparePart 2.14.013 Hal 29,,,,,,,,,,
,,"U-washer 6,4",52-10-002,4,3,,SparePart 2.14.013 Hal 29,,,,,,,,,,
,,hexagon screw M06x25,50-10-062,4,4,,SparePart 2.14.013 Hal 29,,,,,,,,,,
,Centering,plate,201.01.052.01,1,1,,SparePart 2.14.013 Hal 30,,,,,,,,,,
,,locking,201.01.066.00,1,2,,SparePart 2.14.013 Hal 30,,,,,,,,,,
,,sensor Nr.1184361,32-02-615,1,3,,SparePart 2.14.013 Hal 30,,,,,,,,,,
,,holder fixation,201.01.068.00,1,4,,SparePart 2.14.013 Hal 30,,,,,,,,,,
,,magnet Nr.1184395,32-02-616,1,5,,SparePart 2.14.013 Hal 30,,,,,,,,,,
,,bolt fixation,201.01.063.00,1,6,,SparePart 2.14.013 Hal 30,,,,,,,,,,
,,"washer d8,4 A2",52-10-001,2,7,,SparePart 2.14.013 Hal 30,,,,,,,,,,
,,hexagon screw M8x12,50-10-099,2,8,,SparePart 2.14.013 Hal 30,,,,,,,,,,
,,washer,52-10-003,2,9,,SparePart 2.14.013 Hal 30,,,,,,,,,,
,,hexagon screw,50-10-104,4,10,,SparePart 2.14.013 Hal 30,,,,,,,,,,
,,"attempt washer D24 d15 L1,5",31-01-687,2,11,,SparePart 2.14.013 Hal 30,,,,,,,,,,
,,space bushing,2..4000..0306,2,12,,SparePart 2.14.013 Hal 30,,,,,,,,,,
,,space bushing,2..4000..0307,2,13,,SparePart 2.14.013 Hal 30,,,,,,,,,,
,,cylinder screw M4x20,50-10-140,4,14,,SparePart 2.14.013 Hal 30,,,,,,,,,,
,,DU-washer 15/17x15,31-00-435,2,15,,SparePart 2.14.013 Hal 30,,,,,,,,,,
,,rod,201.01.082.00,2,16,,SparePart 2.14.013 Hal 30,,,,,,,,,,
,,distance plate 100x40x6,201.01.070.00,1,17,,SparePart 2.14.013 Hal 30,,,,,,,,,,
,,"washer d06,4 A2",52-10-006,1,18,,SparePart 2.14.013 Hal 30,,,,,,,,,,
,,"washer d04,3 A2",52-10-005,2,19,,SparePart 2.14.013 Hal 30,,,,,,,,,,
,,hexagon screw M6x10 A2,50-10-093,2,20,,SparePart 2.14.013 Hal 30,,,,,,,,,,
,,hexagon screw,50-10-066,1,21,,SparePart 2.14.013 Hal 30,,,,,,,,,,
,Belt support,support GB275,201.01.029.00.3,1,1,,SparePart 2.14.013 Hal 31,,,,,,,,,,
,,Shaft D20 L600 M10,2.5001.0109,2,2,,SparePart 2.14.013 Hal 31,,,,,,,,,,
,,hinged food VA D50,31-02-594,2,3,,SparePart 2.14.013 Hal 31,,,,,,,,,,
,,screwed pin M10x25,50-10-249_M10x25,2,4,,SparePart 2.14.013 Hal 31,,,,,,,,,,
,,"U-washer d8,4 A2",52-10-001,2,5,,SparePart 2.14.013 Hal 31,,,,,,,,,,
,,hexagon screw M8x40,50-10-001,2,6,,SparePart 2.14.013 Hal 31,,,,,,,,,,
,,"U-washer 6,4",52-10-002,4,7,,SparePart 2.14.013 Hal 31,,,,,,,,,,
,,hexagon screw M06x16 A2,50-10-075,2,8,,SparePart 2.14.013 Hal 31,,,,,,,,,,
,,hexagon screw M6x12 A2,50-10-094,2,9,,SparePart 2.14.013 Hal 31,,,,,,,,,,
,SD-80 H-E Frame,plate,410.01.235.00,1,1,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,plate top,410.01.236.00,1,2,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,siede plate,410.01.239.00,1,3,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,distance plate,410.01.238.00,1,4,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,bearing,31-02-872,1,5,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,distance plate,410.01.246.00,1,6,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,distance plate,410.01.003.00,1,7,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,spindle M36 VA,410.01.170.00,1,8,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,cog wheel M2.5 Z60 d16H7 Tellerrad,400.01.013.00,1,9,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,bearing flange,410.01.155.00,1,10,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,bearing,31-01-052,2,11,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,shaft,410.01.153.00,1,12,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,conical gear wheel M2.5 Z15 d15H7,400.01.014.00,1,13,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,cover,410.01.253.00,1,14,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,cover right,410.01.252.00,1,15,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,A-pillar 172 H719 Al,410.01.149.00,1,16,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,flange top Dm250 H350,410.01.178.00,1,17,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,base plate,410.01.181.00,1,18,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,clamp tube,410.01.177.00,1,19,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,clamping lever,31-00-573,1,20,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,clamping lever,31-00-577,1,21,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,hand wheel,31-02-871,1,22,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,flange nut,410.01.151.00,1,23,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,distance ring D200 d170.2 t001,410.01.191.00,1,24,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,clamp housing,410.01.245.00,1,25,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,bushes 16x22x28x20,31-00-104,2,26,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,shaft,410.06.094.00,1,27,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,bearing plate,410.06.095.00,1,28,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,bushes 10x15x20x10 ,31-03-209,2,29,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,steight pin 10x50 DIN7 252,31-03-206,2,30,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,needle bush D10/14x15,31-03-20,1,31,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,adjusting ring 10 DIN 705,31-00-166,2,32,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,lever,410.06.097.00,1,33,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,Gewindestift M10x30 mit Zapfen,50-10-324,1,34,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,hexagonal nut M10,51-10-024,1,35,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,bearing block,30-50-602,1,36,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,turn cylinder,30-50-603,1,37,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,cylinder,30-00-234,1,38,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,"fork head M10x1,25",31-01-846,1,39,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,throttle check valve 1/8,30-10-025,2,40,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,"magnet valve 1/8""",30-10-042,1,41,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,cover B060 t010 L090,410.06.127.00.SLDDRW,1,42,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,plug connection R1/8x6,30-20-012,1,43,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,plug connection R1/8x6,30-20-023,2,44,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,plug connection,30-20-086,1,45,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,,"cable union M12x1,5 Ms",32-01-338,10,46,,SparePart 2.14.013 Hal 32,,,,,,,,,,
,SEW-CMP 80S SD-80 Drive,motor,34-00-713,1,1,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,"sprocket 1/2""x5/16"" Z15",31-00-485,2,2,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,chain tensioner,410.06.010.00,1,3,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,chain tensioner,121.06.075.00,1,4,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,sefety clutch,31-00-640,1,5,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,feather key 8x7x50,31-00-151,1,6,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,flange,410.06.105.00,1,7,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,bearing d70D100B16,31-03-236,1,8,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,bearing d70D90B15,31-03-239,1,9,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,hollow shaft,410.06.106.00,1,10,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,oil seal 80x100x10,31-03-230,1,11,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,bearing d30D55B19,31-03-238,1,12,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,bearing d30D47B09 ,31-03-237,2,13,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,flange washer,410.06.108.00,1,14,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,sprocket ,410.06.109.00,1,15,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,oil seal 45x62x8 ,31-03-231,1,16,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,drive shaft,410.06.107.00,1,17,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,O-sealing D105x3,31-03-229,1,18,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,holding fixture,410.06.096.00,1,19,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,O-sealing D067x4,31-03-226,1,20,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,O-sealing D070x4,31-03-227,1,21,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,flange,410.06.110.00,1,22,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,bearing d030D062B16,31-00-008,2,23,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,shaft D0020 D0025 L0124,410.06.113.00,1,24,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,"disc spring 40x20,4x1,5",31-03-232,8,25,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,"washer d012,5 D040 L002",2.0125.0099,1,26,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,"hexagonal nut M12x1,5  A2",51-10-060,1,27,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,feather key  8x7x40,31-00-706,1,28,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,motor,34-00-547,1,29,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,plate,410.01.235.00,1,30,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,locking nut,410.06.115.00,1,31,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,spur gear,410.06.100.00,1,32,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,shaft D28 D25 L171,410.06.112.00,1,33,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,feather key,31-00-152,1,34,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,spur gear,410.06.013.00,1,35,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,timing belt 50 T08/1800,31-00-317(3.410.06.007.00),1,36,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,"chain 1/2x5/16"" SZ",31-00-444(3.410.06.015.00),1,37,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,bolt ,410.06.098.00,1,38,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,bolt L42,121.06.007.01,1,39,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,ring,410.06.118.00,1,40,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,ring folower,410.06.117.00,1,41,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,flange,410.06.111.00,1,42,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,licker ring 62x2,31-03-240,2,43,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,tension roller,310.00.107.00,1,44,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,locker bolt,310.00.106.00,1,45,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,locker ring,31-00-421,2,46,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,bearing,31-00-064,2,47,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,O-sealing D050x5 ,31-03-205,1,48,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,pressure pad,410.06.131.00,2,49,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,stirrer inner,410.06.116.00,1,50,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,,stirrer outer,410.06.119.00,1,51,,SparePart 2.14.013 Hal 33,,,,,,,,,,
,SD-80 H-E Hopper,hopper,410.39.309.00,1,1,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,silicone round cord 6mm,31-02-967-410.39.309.00,2,2,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,washer,410.39.017.02,1,3,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,"U-washer d04,3","52-10-009_U-Scheibed04,3",6,4,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,hexagon screw M4x20,50-10-088,6,5,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,O-sealing 180x3,31-03-198-410.39.309.00,1,6,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,hopper plate SD80,410.39.310.00,1,7,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,silicone round cord 6mm,31-02-967(3.410.39.027.00_Deckel),1,8,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,bracket plate,410.39.100.00,3,9,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,"U-washer 5,3",52-10-004,14,10,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,hexagon screw M5x10,50-10-089,10,11,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,gas flushing D40 R125 ,3.410.23.001.00,1,12,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,O-sealing 90x3,31-02-963,1,13,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,bolt,410.39.044.00,4,14,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,star knob M10x50 ,31-00-622,4,15,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,hexagon screw M5x16,50-10-091,2,16,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,O-sealing 40x3,31-03-197,1,17,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,O-sealing 50x3,31-02-962-(410.39.314.00),1,18,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,chinge,410.39.274.00,1,19,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,"U-washer 6,4",52-10-002,4,20,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,hexagon screw M6x20,50-10-010,4,21,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,chinge,410.39.273.00,1,22,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,sliding bearing,31-01-817,2,23,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,buttstrap,410.39.019.01,4,24,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,hopper DN150,410.39.224.00,1,25,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,hexagon screw M05x12 ,50-10-090,2,26,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,O-sealing 150x3,31-02-964,1,27,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,shaft,2.5000.0231,1,28,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,frame SD80,410.39.304.00,1,29,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,adapter plate sensor,400.39.163.00,1,30,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,adapter plate sensor,400.39.164.00,1,31,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,countersunk screw M6x16 A2,50-10-126,4,32,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,joint ball M8x32,31-00-238,1,33,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,screwed pin M8x50,50-10-275,1,34,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,sensor Nr.1184361,32-02-615,1,35,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,magnet Nr.1184395,32-02-616,1,36,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,bellow 10ltr,31-00-537(3.400.39.022.00),1,37,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,hose clamp 32-50mm,30-50-132,1,38,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,cylinder screw M04x12,50-10-039,4,39,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,Protector D U M M Y,32-03-222,1,40,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,holder,410.39.320.00,1,41,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,bushing,410.39.321.00,1,42,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,level sensor FTC968 DC PNP,32-03-221,1,43,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,O-sealing 55x2,31-03-223,1,44,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,,knurled screw M4x10,31-00-368,1,45,,SparePart 2.14.013 Hal 34,,,,,,,,,,
,Drive - half shell,universal holder 40.2,410.40.497.00,1,1,,SparePart 2.14.013 Hal 35,,,,,,,,,,
,,holder 40.2,410.40.498.00,1,2,,SparePart 2.14.013 Hal 35,,,,,,,,,,
,,holder,400.40.001.00,1,3,,SparePart 2.14.013 Hal 35,,,,,,,,,,
,,Du-washer 10x20x1.5,31-00-492,2,4,,SparePart 2.14.013 Hal 35,,,,,,,,,,
,,actuation,410.40.406.00,1,5,,SparePart 2.14.013 Hal 35,,,,,,,,,,
,,actuation,410.40.405.00,1,6,,SparePart 2.14.013 Hal 35,,,,,,,,,,
,,shaft,410.40.094.00,1,7,,SparePart 2.14.013 Hal 35,,,,,,,,,,
,,bolt,410.40.018.00,2,8,,SparePart 2.14.013 Hal 35,,,,,,,,,,
,,lever,400.40.002.00,1,9,,SparePart 2.14.013 Hal 35,,,,,,,,,,
,,turn cylinder,30-40-002,1,10,,SparePart 2.14.013 Hal 35,,,,,,,,,,
,,joint ball M8 links ,31-00-382,1,11,,SparePart 2.14.013 Hal 35,,,,,,,,,,
,,joint ball M8,31-00-052,1,12,,SparePart 2.14.013 Hal 35,,,,,,,,,,
,,bolt,700.44.015.00,1,13,,SparePart 2.14.013 Hal 35,,,,,,,,,,
,,"U-washer d8,4 A2",52-10-001,4,14,,SparePart 2.14.013 Hal 35,,,,,,,,,,
,,tension rod,410.40.454.00,2,15,,SparePart 2.14.013 Hal 35,,,,,,,,,,
,,DU-bushes 08x10x10,31-00-424,2,16,,SparePart 2.14.013 Hal 35,,,,,,,,,,
,,hexagonal nut M8,51-10-001,1,17,,SparePart 2.14.013 Hal 35,,,,,,,,,,
,,hexagonal nut M08L ,51-10-020,1,18,,SparePart 2.14.013 Hal 35,,,,,,,,,,
,,hexagon screw M8x30,50-10-081,2,19,,SparePart 2.14.013 Hal 35,,,,,,,,,,
,,sliding block M8x10,31-00-680,1,20,,SparePart 2.14.013 Hal 35,,,,,,,,,,
,,throttle check valve M5x6,30-10-030,1,21,,SparePart 2.14.013 Hal 35,,,,,,,,,,
,,adjustment ring A 08 DIN 705,31-00-165,2,22,,SparePart 2.14.013 Hal 35,,,,,,,,,,
,,hexagon screw,50-10-177,2,23,,SparePart 2.14.013 Hal 35,,,,,,,,,,
,,"U-washer 6,4",52-10-002,4,24,,SparePart 2.14.013 Hal 35,,,,,,,,,,
,,DU-bushes 10x12x10,31-00-121,2,25,,SparePart 2.14.013 Hal 35,,,,,,,,,,
,,mountining kit,30-50-224,1,26,,SparePart 2.14.013 Hal 35,,,,,,,,,,
